kind,source,row,species,observed,predicted,unit
vle,Aronu_2011_VLE,0,CO2,0.0017,0.002762423706566313,kPa
vle,Aronu_2011_VLE,1,CO2,0.0035,0.005552955012899896,kPa
vle,Aronu_2011_VLE,2,CO2,0.0068,0.010324552195892088,kPa
vle,Aronu_2011_VLE,3,CO2,0.017,0.017233809434253372,kPa
vle,Aronu_2011_VLE,4,CO2,0.0215,0.02177622932222496,kPa
vle,Aronu_2011_VLE,5,CO2,0.0427,0.051276022936676,kPa
vle,Aronu_2011_VLE,6,CO2,0.045,0.053591014729881335,kPa
vle,Aronu_2011_VLE,7,CO2,0.0845,0.10443819442476798,kPa
vle,Aronu_2011_VLE,8,CO2,0.222,0.26653438557269726,kPa
vle,Aronu_2011_VLE,9,CO2,0.6634,0.6173362265693085,kPa
vle,Aronu_2011_VLE,10,CO2,0.7013,0.7270462739491451,kPa
vle,Aronu_2011_VLE,11,CO2,4.8405,3.01496470897784,kPa
vle,Aronu_2011_VLE,12,CO2,7.8861,3.9807132564212577,kPa
vle,Aronu_2011_VLE,13,CO2,16.0024,8.234101028256688,kPa
vle,Aronu_2011_VLE,19,CO2,0.0151,0.03250331227665198,kPa
vle,Aronu_2011_VLE,20,CO2,0.0234,0.03810298613116199,kPa
vle,Aronu_2011_VLE,21,CO2,0.0417,0.0633306622474434,kPa
vle,Aronu_2011_VLE,22,CO2,0.0965,0.1426247092370848,kPa
vle,Aronu_2011_VLE,23,CO2,0.1462,0.1970292115189746,kPa
vle,Aronu_2011_VLE,24,CO2,1.7998,2.1221986598157354,kPa
vle,Aronu_2011_VLE,25,CO2,5.409,6.407216027274071,kPa
vle,Aronu_2011_VLE,26,CO2,8.2297,7.905322084747339,kPa
vle,Aronu_2011_VLE,27,CO2,0.0603,0.10865933251208318,kPa
vle,Aronu_2011_VLE,28,CO2,0.1315,0.24807202057667355,kPa
vle,Aronu_2011_VLE,29,CO2,0.3544,0.6543037663903253,kPa
vle,Aronu_2011_VLE,30,CO2,0.525,1.0005080131938013,kPa
vle,Aronu_2011_VLE,31,CO2,3.6374,5.665333067720751,kPa
vle,Aronu_2011_VLE,32,CO2,6.3092,9.270869469908131,kPa
vle,Aronu_2011_VLE,33,CO2,0.0016,0.001325441085383577,kPa
vle,Aronu_2011_VLE,34,CO2,0.0123,0.008325043013957967,kPa
vle,Aronu_2011_VLE,35,CO2,0.0246,0.016266832139884266,kPa
vle,Aronu_2011_VLE,36,CO2,0.0603,0.06458062477669323,kPa
vle,Aronu_2011_VLE,37,CO2,0.0851,0.08550495623277517,kPa
vle,Aronu_2011_VLE,38,CO2,0.1835,0.2198652895937333,kPa
vle,Aronu_2011_VLE,39,CO2,0.2928,0.31596627540084,kPa
vle,Aronu_2011_VLE,40,CO2,0.3188,0.3476211118478469,kPa
vle,Aronu_2011_VLE,41,CO2,0.3809,0.4689235642975412,kPa
vle,Aronu_2011_VLE,42,CO2,0.5702,0.6827892440362464,kPa
vle,Aronu_2011_VLE,43,CO2,1.0662,1.1224811968019723,kPa
vle,Aronu_2011_VLE,44,CO2,1.8326,1.6357037760170232,kPa
vle,Aronu_2011_VLE,45,CO2,1.8278,1.689236970805435,kPa
vle,Aronu_2011_VLE,46,CO2,2.3193,2.193668189675317,kPa
vle,Aronu_2011_VLE,47,CO2,2.8577,2.504731093892034,kPa
vle,Aronu_2011_VLE,48,CO2,8.5583,6.146873866587877,kPa
vle,Aronu_2011_VLE,49,CO2,11.812,7.941856787963865,kPa
vle,Aronu_2011_VLE,51,CO2,0.0154,0.011192828056299432,kPa
vle,Aronu_2011_VLE,52,CO2,0.0427,0.03210317846250608,kPa
vle,Aronu_2011_VLE,53,CO2,0.1348,0.11315561490814986,kPa
vle,Aronu_2011_VLE,54,CO2,0.3015,0.2743545542990941,kPa
vle,Aronu_2011_VLE,55,CO2,0.6436,0.6946852012053091,kPa
vle,Aronu_2011_VLE,56,CO2,1.097,1.2724867011103296,kPa
vle,Aronu_2011_VLE,57,CO2,2.5014,2.6242152474423834,kPa
vle,Aronu_2011_VLE,58,CO2,13.558,12.29374476599805,kPa
vle,Aronu_2011_VLE,62,CO2,0.1406,0.1044712103031748,kPa
vle,Aronu_2011_VLE,63,CO2,0.2485,0.18732520102828126,kPa
vle,Aronu_2011_VLE,64,CO2,0.6137,0.48042834148543345,kPa
vle,Aronu_2011_VLE,65,CO2,1.2538,1.0646941257136624,kPa
vle,Aronu_2011_VLE,66,CO2,3.7522,3.320808706377843,kPa
vle,Aronu_2011_VLE,67,CO2,7.9387,8.052460024670168,kPa
vle,Aronu_2011_VLE,68,CO2,8.3031,7.772128598837976,kPa
vle,Aronu_2011_VLE,69,CO2,0.0035,0.0015878555833263913,kPa
vle,Aronu_2011_VLE,70,CO2,0.0035,0.0017997324084044295,kPa
vle,Aronu_2011_VLE,71,CO2,0.0077,0.003945636555744601,kPa
vle,Aronu_2011_VLE,72,CO2,0.0099,0.005589550435301594,kPa
vle,Aronu_2011_VLE,73,CO2,0.0123,0.0072943657556731436,kPa
vle,Aronu_2011_VLE,74,CO2,0.0164,0.014144341162677217,kPa
vle,Aronu_2011_VLE,75,CO2,0.0178,0.01305796947546619,kPa
vle,Aronu_2011_VLE,76,CO2,0.0364,0.020916398465070863,kPa
vle,Aronu_2011_VLE,77,CO2,0.0598,0.05458758526959522,kPa
vle,Aronu_2011_VLE,78,CO2,0.1087,0.11544612672277024,kPa
vle,Aronu_2011_VLE,79,CO2,0.1781,0.16056282190677854,kPa
vle,Aronu_2011_VLE,80,CO2,0.2787,0.30417583426346917,kPa
vle,Aronu_2011_VLE,81,CO2,0.9173,1.026642480077713,kPa
vle,Aronu_2011_VLE,82,CO2,2.1609,1.6158981077730183,kPa
vle,Aronu_2011_VLE,83,CO2,5.4871,4.430370410531785,kPa
vle,Aronu_2011_VLE,86,CO2,0.0099,0.008953371193880998,kPa
vle,Aronu_2011_VLE,87,CO2,0.0205,0.021350460724270916,kPa
vle,Aronu_2011_VLE,88,CO2,0.0787,0.057474277885323784,kPa
vle,Aronu_2011_VLE,89,CO2,0.1284,0.10167986437734178,kPa
vle,Aronu_2011_VLE,90,CO2,0.4279,0.40750600168497164,kPa
vle,Aronu_2011_VLE,91,CO2,1.4259,0.9065751570301038,kPa
vle,Aronu_2011_VLE,92,CO2,4.6349,4.529857815907844,kPa
vle,Aronu_2011_VLE,93,CO2,6.2928,5.4772507029697275,kPa
vle,Aronu_2011_VLE,94,CO2,8.29,7.891688072333896,kPa
vle,Aronu_2011_VLE,101,CO2,0.0529,0.05017581892396921,kPa
vle,Aronu_2011_VLE,102,CO2,0.1236,0.08245867061714765,kPa
vle,Aronu_2011_VLE,103,CO2,0.3981,0.41310921349807805,kPa
vle,Aronu_2011_VLE,104,CO2,4.5002,5.236919244108043,kPa
vle,Aronu_2011_VLE,105,CO2,11.249,14.425247487418533,kPa
vle,Hilliard_2008_VLE,0,CO2,0.00555,0.0031459822997363003,kPa
vle,Hilliard_2008_VLE,1,CO2,0.014,0.014303125498541588,kPa
vle,Hilliard_2008_VLE,2,CO2,0.0362,0.05214875369223447,kPa
vle,Hilliard_2008_VLE,3,CO2,0.116,0.1556882558273396,kPa
vle,Hilliard_2008_VLE,4,CO2,0.879,1.0868650165534346,kPa
vle,Hilliard_2008_VLE,5,CO2,8.56,7.524940279823508,kPa
vle,Hilliard_2008_VLE,6,CO2,0.0212,0.04611504405481006,kPa
vle,Hilliard_2008_VLE,7,CO2,0.078,0.11519177149518324,kPa
vle,Hilliard_2008_VLE,8,CO2,0.244,0.40164855975162667,kPa
